,X,PLAYER,Play_Yrs,Games,Year,Pick,CLASS,CONF,ORTG,USG,EFG,TS,OR,DR,AST,TO,BLK,STL,FTR,FT_PERC,X2P_PERC,X3PR,X3P_PERC,HEIGHT_IN,BPM
113,22,Jared Cunningham,4,84,2012,24,Jr,P12,106.8,25.3,50.2,56.3,3.5,9.6,15.7,18.3,1.3,4.1,60.7,0.734,0.502,33.7,0.336,76,-4.85
114,23,Tony Wroten,4,145,2012,25,Fr,P12,95.7,32.1,45.3,48.8,8,9.8,24.5,21.8,1.2,3.5,59.1,0.583,0.483,12.5,0.161,77,-5.525
115,24,Miles Plumlee,7,333,2012,26,Sr,ACC,117.3,17.6,61,62,16.6,22.7,5.1,20,4.2,1.5,52.1,0.632,0.61,0,0,82,-2.8
116,25,Jae Crowder,7,472,2012,34,Sr,BE,122.3,22,56.8,59.9,7,20.5,13.5,9.8,3.1,4.3,37.2,0.735,0.602,40.6,0.345,78,0.475
117,26,Draymond Green,7,477,2012,35,Sr,B10,107.3,28.2,50.4,54.2,8.2,28.5,24.2,19.7,3.4,2.7,36.7,0.723,0.473,28.4,0.388,79,1.825
118,27,Quincy Acy,6,327,2012,37,Sr,B12,116.7,19.2,57.1,62.9,10.7,18.6,6.5,19.9,6.5,1.8,64.9,0.776,0.564,1.9,0.6,79,-1.2
119,28,Khris Middleton,7,387,2012,39,Jr,B12,96,28.6,45.1,48.3,5.7,15.8,19,16.5,1.1,2.1,22.2,0.75,0.481,31.6,0.257,79,-0.5
120,29,Will Barton,7,397,2012,40,So,CUSA,116.3,25.4,55,58.8,7.6,18.5,17.3,14.2,2.1,2.4,39.6,0.749,0.559,23.7,0.346,78,-1.325
121,30,Mike Scott,7,366,2012,43,Sr,ACC,115,29.8,57.1,62,9.7,24,10.7,14.8,1.8,1.4,45,0.808,0.577,5.2,0.3,80,-1.425
122,31,Darius Miller,5,189,2012,46,Sr,SEC,117.9,18.6,56.6,59.3,4.3,7.3,14.3,17.8,1.2,1.9,22.8,0.797,0.569,49.3,0.376,80,-5.6
123,32,Kyle O'Quinn,7,404,2012,49,Sr,MEAC,113.8,25,59.6,63,11.6,25,11.2,19.5,9.1,1.1,64.7,0.704,0.621,8.5,0.214,82,-0.45
